Prunus avium	broadleaved	deciduous
Acer saccharinum	broadleaved	deciduous
Cedrus deodara	needleleaved	evergreen
Celtis australis	broadleaved	deciduous
Fraxinus excelsior	broadleaved	deciduous
Fraxinus excelsior	broadleaved	deciduous
Cedrus deodara	needleleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Prunus serrulata	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Sequoiadendron giganteum	needleleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Populus simonii	broadleaved	deciduous
Populus simonii	broadleaved	deciduous
Prunus avium	broadleaved	deciduous
Fraxinus excelsior	broadleaved	deciduous
Cedrus deodara	needleleaved	evergreen
Acer platanoides	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Ginkgo biloba	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Fraxinus excelsior	broadleaved	deciduous
"Thuja plicata ""Atrovirens"""	needleleaved	evergreen
"Thuja plicata ""Atrovirens"""	needleleaved	evergreen
Morus alba	broadleaved	deciduous
Prunus avium	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Acer platanoides	broadleaved	deciduous
Prunus avium	broadleaved	deciduous
Fraxinus excelsior	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Cedrus deodara	needleleaved	evergreen
Acer platanoides	broadleaved	deciduous
Sequoiadendron giganteum	needleleaved	evergreen
Acer negundo	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Betula alba	broadleaved	deciduous
Chamaerops excelsa	broadleaved	evergreen
Morus alba	broadleaved	deciduous
Chamaerops excelsa	broadleaved	evergreen
Acer negundo	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Prunus avium	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Thuja plicata ""Atrovirens"""	needleleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Acer platanoides	broadleaved	deciduous
Fraxinus excelsior	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Liquidambar styraciflua	broadleaved	deciduous
Fraxinus excelsior	broadleaved	deciduous
Chamaerops excelsa	broadleaved	evergreen
Betula alba	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Sequoiadendron giganteum	needleleaved	evergreen
Acer negundo	broadleaved	deciduous
"Thuja plicata ""Atrovirens"""	needleleaved	evergreen
Acer negundo	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Cedrus deodara	needleleaved	evergreen
Fraxinus excelsior	broadleaved	deciduous
Morus alba	broadleaved	deciduous
Acer platanoides	broadleaved	deciduous
Betula alba	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Cupressus sempervirens	needleleaved	evergreen
"Picea pungens ""Glauca"""	needleleaved	evergreen
Fraxinus excelsior	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Acer platanoides	broadleaved	deciduous
Sequoiadendron giganteum	needleleaved	evergreen
"Thuja plicata ""Atrovirens"""	needleleaved	evergreen
"Thuja plicata ""Atrovirens"""	needleleaved	evergreen
Acer platanoides	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Cedrus atlantica	needleleaved	evergreen
Fraxinus excelsior	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Sequoia sempervirens	needleleaved	evergreen
Fraxinus excelsior	broadleaved	deciduous
Acer cappadocium	broadleaved	deciduous
"Picea pungens ""Glauca"""	needleleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
Sequoiadendron giganteum	needleleaved	evergreen
Platanus x hispanica	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Sequoiadendron giganteum	needleleaved	evergreen
Platanus x hispanica	broadleaved	deciduous
